# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	471	767	+							M164_0001	297		
CDS	with_protein	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	471	767	+	ACR40637.1			conserved hypothetical protein			M164_0001	297	98	
gene	protein_coding	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	842	2029	+							M164_0002	1188		
CDS	with_protein	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	842	2029	+	ACR40638.1			orc1/cdc6 family replication initiation protein			M164_0002	1188	395	
gene	protein_coding	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	2010	2330	+							M164_0003	321		
CDS	with_protein	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	2010	2330	+	ACR40639.1			conserved hypothetical M protein			M164_0003	321	106	
gene	protein_coding	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	2400	3233	+							M164_0004	834		
CDS	with_protein	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	2400	3233	+	ACR40640.1			Conserved TM helix repeat-containing protein			M164_0004	834	277	
gene	protein_coding	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	3281	3580	+							M164_0005	300		
CDS	with_protein	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	3281	3580	+	ACR40641.1			transcriptional coactivator/pterin dehydratase			M164_0005	300	99	
gene	protein_coding	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	3648	4226	-							M164_0006	579		
CDS	with_protein	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	3648	4226	-	ACR40642.1			conserved hypothetical protein			M164_0006	579	192	
gene	protein_coding	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	4154	4867	-							M164_0007	714		
CDS	with_protein	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	4154	4867	-	ACR40643.1			conserved hypothetical protein			M164_0007	714	237	
gene	protein_coding	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	4901	5728	-							M164_0008	828		
CDS	with_protein	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	4901	5728	-	ACR40644.1			Tetratricopeptide TPR_2 repeat protein			M164_0008	828	275	
gene	protein_coding	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	6219	7049	-							M164_0009	831		
CDS	with_protein	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	6219	7049	-	ACR40645.1			AIG2 family protein			M164_0009	831	276	
gene	protein_coding	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	7052	7336	-							M164_0010	285		
CDS	with_protein	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	7052	7336	-	ACR40646.1			hypothetical protein			M164_0010	285	94	
